,收益率
2020-11-17,-0.006536892961549363
2020-11-18,-0.005771875963655826
2020-11-19,-0.006750952221965501
2020-11-20,-0.007620785824121293
2020-11-21,-0.008284409065908981
2020-11-22,-0.009085019262577097
2020-11-23,-0.011051401958023082
2020-11-24,-0.010592773408192514
2020-11-25,-0.010616009331254573
2020-11-26,-0.011226749703687422
2020-11-27,-0.013249877642903031
2020-11-28,-0.013729291681422787
2020-11-29,-0.014186756884627411
2020-11-30,-0.016414461796439576
2020-12-01,-0.015214345179141407
2020-12-02,-0.015572027922717389
2020-12-03,-0.016801959360387975
2020-12-04,-0.01556483951488245
2020-12-05,-0.01668282828222248
2020-12-06,-0.017114867323609846
2020-12-07,-0.017250328541597727
2020-12-08,-0.015443967382370062
2020-12-09,-0.01186938125974471
2020-12-10,-0.011841294564516948
2020-12-11,-0.010777633667455225
2020-12-12,-0.009485193735852727
2020-12-13,-0.007308190733609293
2020-12-14,-0.00690369217577643
2020-12-15,-0.002914859939083944
2020-12-16,7.047345696829745e-05
2020-12-17,0.0019794143116576247
2020-12-18,0.004296677729559765
2020-12-19,0.006622752543253325
2020-12-20,0.008987809213520078
2020-12-21,0.010159947272103257
2020-12-22,0.01367470864783802
2020-12-23,0.01709416753964892
2020-12-24,0.018305408064866024
2020-12-25,0.01967814643636839
2020-12-26,0.02099453338416971
2020-12-27,0.023252639197551366
2020-12-28,0.021651616705018452
2020-12-29,0.024437124633103546
2020-12-30,0.025228680181113818
2020-12-31,0.024547271402741492
2021-01-01,0.023928620142049852
2021-01-02,0.023316818734189684
2021-01-03,0.023111598059086292
2021-01-04,0.02081233365717564
2021-01-05,0.019897767362307448
2021-01-06,0.019214256016645805
2021-01-07,0.016101882755398856
2021-01-08,0.013469100186321324
2021-01-09,0.011120766396878666
2021-01-10,0.008390456746589394
2021-01-11,0.0055156259970428135
2021-01-12,0.003722618869980955
2021-01-13,0.0023659227979766426
2021-01-14,-0.00043345897001757696
2021-01-15,-0.0023729003175643635
2021-01-16,-0.00328417503138274
2021-01-17,-0.005955383499767664
2021-01-18,-0.00870339014835866
2021-01-19,-0.008812690439746963
2021-01-20,-0.008283247114734932
2021-01-21,-0.008923110608918471
2021-01-22,-0.009733308649298536
2021-01-23,-0.009521290013230144
2021-01-24,-0.008483287883677951
2021-01-25,-0.00928651745861854
2021-01-26,-0.007343626502593177
2021-01-27,-0.005200011060768695
2021-01-28,-0.004316781733630836
